total_violent_crime,household_income,"County,State"
489,38704,"Mackinac,MI"
20857,53451,"Macomb,MI"
420,41551,"Manistee,MI"
1523,45622,"Marquette,MI"
1006,41136,"Mason,MI"
1149,39470,"Mecosta,MI"
593,41739,"Menominee,MI"
1053,53076,"Midland,MI"
283,41061,"Missaukee,MI"
4308,53972,"Monroe,MI"
1431,40451,"Montcalm,MI"
52,35261,"Montmorency,MI"
8235,40979,"Muskegon,MI"
1118,42571,"Newaygo,MI"
24840,65594,"Oakland,MI"
565,40023,"Oceana,MI"
501,34619,"Ogemaw,MI"
74,34620,"Ontonagon,MI"
475,37788,"Osceola,MI"
253,33239,"Oscoda,MI"
490,47584,"Otsego,MI"
5633,56453,"Ottawa,MI"
136,39652,"Presque Isle,MI"
584,33334,"Roscommon,MI"
6366,42331,"Saginaw,MI"
693,40478,"Sanilac,MI"
256,35260,"Schoolcraft,MI"
